id,title,genres,language,duration,description,director,rating,releaseDate,isActive,tags
24,Eight everybody visit kid,"Adventure, Action",Spanish,151,Hope whatever expert much however your. Bring Mrs away attack collection majority key.,Taika Waititi,8.7,2007-03-10,false,war
25,Fast knowledge,"Drama, Sci-Fi","Mandarin, German",94,Individual win scientist heart by time reality drug. Political stop tough bit.,Jordan Peele,7.1,2022-02-24,true,future
26,Many talk building,Thriller,"Mandarin, Korean",128,Everyone should plan gas just lead. Rich over rest.,Jordan Peele,7.1,2005-07-08,true,revenge
27,Throw politics strategy,Drama,"Japanese, German",174,Front decision yard author cultural simply. Bit likely which onto board. Offer never high real. Appear hand small trip class.,Jordan Peele,1.2,2010-08-13,true,"crime, underdog"
28,Marriage eye,"Romance, Action",Hindi,110,Issue choose practice final choose these. Democratic film measure career child. Camera every about fall.,Taika Waititi,3.8,1987-08-15,false,coming-of-age
29,Image leader heavy,"Comedy, Romance",English,148,West then blood everything. Information performance later discussion color almost of.,Denis Villeneuve,1.3,2017-11-25,true,"family, dreams"
30,Wind same,"Adventure, Action, Romance","German, Spanish",153,Result wrong crime conference hear ability. Among throw home pick pull should. Trip mind evening goal design economic.,Steven Spielberg,8.3,1988-12-22,true,crime
31,Authority town,"Animation, Romance",Korean,126,Some quality almost.,Quentin Tarantino,2.8,1986-10-04,true,"time travel, family, coming-of-age"
32,Heart identify alone,Sci-Fi,"Hindi, Korean",175,Century watch benefit guy recent store. Buy heavy opportunity condition office agree.,Steven Spielberg,7.5,1988-07-01,true,"heist, revenge"
33,Involve doctor we,"Adventure, Thriller, Horror","French, Japanese",118,Together conference manager another expert. So and lay collection.,Wes Anderson,8.2,2018-11-02,true,"time travel, love"
34,No effect,"Sci-Fi, Animation","Spanish, English",160,Tree not safe main fall must. Almost main hot though political property. Late degree me themselves arm billion southern. Present common various.,Chloe Zhao,5.6,1996-09-25,true,friendship
35,War morning,"Adventure, Sci-Fi, Thriller",Hindi,126,Challenge let friend especially. Soon huge drug cost everything race human. Important everything body various college.,Ava DuVernay,2.3,1993-07-01,true,"coming-of-age, love"
36,How season,"Romance, Comedy",German,114,Financial level easy probably number argue building this. Back history stop serious find protect. Anyone whole tax product.,James Cameron,3.6,1994-05-29,true,"time travel, love, underdog"
37,Enjoy bar security,Drama,English,111,Majority term cold produce learn. Form day including.,Ridley Scott,8.4,2021-08-22,true,"love, friendship"
38,Down later,Horror,Korean,97,However environmental for yard however. Mr today ground beat one.,Christopher Nolan,3.3,2004-12-02,true,friendship
39,Which,Adventure,English,90,Sell rule compare control identify painting. Baby man front conference. Represent race condition whose baby others want several.,Denis Villeneuve,6.4,1985-09-14,false,"underdog, crime"
40,They parent,"Comedy, Thriller, Drama",French,153,National audience kitchen so long. Beautiful if quickly class prove television. Subject together minute television dog item.,Chloe Zhao,5.5,1990-10-28,true,"mystery, future, family"
41,One describe young,"Comedy, Horror",Japanese,122,Message run sort. Memory hot player goal play consumer home.,James Cameron,6.3,2014-12-25,true,"time travel, love, underdog"
42,Image popular age,Comedy,Hindi,115,Open indicate draw agent cost central your.,Ava DuVernay,4.7,1985-01-06,true,"survival, heist"
43,Power,"Animation, Thriller","Hindi, Spanish",180,Probably administration like accept choice along. Laugh beautiful center born source.,Sofia Coppola,2.3,2022-08-20,true,"dreams, friendship"
44,Last computer,"Action, Documentary, Horror","German, Spanish",161,Official piece rate writer reflect. Everything number employee material indicate then particularly rock. Vote room the member center.,Chloe Zhao,4.3,1990-12-13,true,coming-of-age
45,Ahead likely,"Thriller, Action","Korean, Spanish",91,Site pay generation maybe. Travel indicate away may operation media seem outside. Rich enjoy person discuss rich join yet.,Sofia Coppola,8.4,2001-02-14,true,underdog
46,Forget camera,"Romance, Thriller",Korean,90,Own carry major something ready represent. Conference time big firm give certainly anyone. Hot tend could them.,James Cameron,8.0,2024-02-10,true,"underdog, coming-of-age"
47,Usually kind gun,"Thriller, Comedy",Korean,144,Full reduce sit attention above human. Street situation these different ok.,Steven Spielberg,4.2,2009-04-25,true,mystery
48,Spend above save,Drama,"Spanish, English",131,Food chance offer house fight where assume. Mention defense to probably. Choice say budget report Mr wind form.,Martin Scorsese,6.7,2008-02-23,true,space
49,Team simple visit,Animation,German,120,Reason tax future town as her think thank. Great peace sell away when here. One image scientist case her work.,Ava DuVernay,5.3,1991-12-23,true,"revenge, coming-of-age, crime"
50,Remember society girl,"Horror, Comedy","Japanese, French",130,Doctor project scene culture quite. Father billion individual involve.,Sofia Coppola,4.4,2000-02-20,true,underdog
51,Marriage light,"Documentary, Horror, Comedy","Hindi, Spanish",169,Challenge certain tax quite capital. Special soldier success court.,James Cameron,2.5,2015-12-24,true,"family, space, heist"
52,Begin run soon,"Drama, Comedy",German,178,True either daughter. Force all computer up music rock force. Save dog listen agency finish save follow.,Sofia Coppola,9.4,2024-05-01,true,"time travel, underdog, mystery"
53,Fish interview,"Sci-Fi, Adventure","Spanish, Hindi",106,You assume keep back purpose. Whom throw herself upon crime give land be.,Jordan Peele,2.9,2005-05-21,true,love
54,The tend deep,Thriller,English,117,Food blue song name. Ready chair huge much. Water option rise game necessary among upon.,Greta Gerwig,3.1,2020-06-16,false,"revenge, friendship"
55,Get budget,"Adventure, Comedy, Action","Spanish, German",121,Of rather beyond nor popular will. Sea hard fall painting blood few. Role full customer turn whom.,Chloe Zhao,4.6,1999-01-14,true,"love, survival, revenge"
56,Skill increase,"Comedy, Documentary",English,122,Bank beyond step five drop laugh. Machine property reason.,Sofia Coppola,3.1,2011-10-14,false,"mystery, revenge, survival"
57,Him back,"Action, Documentary, Sci-Fi","Korean, Hindi",165,Low individual send take white. Company law more she. Task production hold show cell.,Denis Villeneuve,2.2,1983-09-09,true,"space, future"
58,International worry take evening,"Romance, Adventure",French,120,College crime pattern within population threat. Understand plan finish ready next real man. Add single bring star point.,Chloe Zhao,5.8,1992-09-20,true,"dreams, space"
59,East building window,"Sci-Fi, Romance","Korean, Spanish",158,Employee study its. Relationship must run us any. Their call her from generation industry open arm.,James Cameron,7.9,2003-08-30,true,"underdog, space"
60,Become can,"Adventure, Drama","English, French",99,Good cultural quality argue meeting position civil sense. Couple wait chance people.,Christopher Nolan,3.1,1983-03-21,true,survival
61,Main democratic statement,"Thriller, Comedy","English, Hindi",125,Value movie raise half often. Leg simple important mention memory hot song offer.,Chloe Zhao,6.0,2021-01-24,true,"coming-of-age, space, heist"
62,Free positive,"Comedy, Horror","Spanish, German",101,Maintain imagine inside computer market. Left break space he.,Chloe Zhao,5.6,2004-06-21,true,"revenge, time travel, underdog"
63,Whole garden,Animation,German,89,With painting understand southern interesting nothing. Front sing campaign enough including site article off. Region minute foot physical building oil red.,Martin Scorsese,7.9,1988-06-17,false,family
64,Federal despite fine not,"Comedy, Thriller, Romance",Japanese,99,City author education reveal without. Often leg hope.,Christopher Nolan,1.7,2023-01-18,true,"revenge, friendship"
65,Travel nearly,Romance,Mandarin,121,Energy finally way have seat reality PM. Yeah so cut edge left herself spend. Anyone laugh who thing now.,Chloe Zhao,10.0,1991-08-08,true,mystery
66,Major baby population old,"Sci-Fi, Romance, Action",German,91,Short whom better surface age college. Exactly source bill risk evening. Material message nor cause.,Quentin Tarantino,3.3,2001-07-15,false,"heist, dreams"
67,Century fish serious decision,Drama,"German, Spanish",162,Conference read and.,Ridley Scott,9.6,1993-10-29,true,"mystery, love"
68,Fight either,"Sci-Fi, Drama, Romance",Japanese,145,Pay area girl have. Drive mean reason agreement. Whether manager lose show finish up executive carry.,Martin Scorsese,5.4,2014-10-25,true,"revenge, love, heist"
69,Discussion decision want,"Romance, Drama","German, English",85,Through this term garden number among require. Customer apply case become American instead any. Product school source American hand.,Wes Anderson,4.1,2021-08-01,true,"friendship, survival, space"
70,During yet until,"Animation, Documentary",Korean,139,Raise school personal create expect reach do. Amount serve strong trouble book rest charge wish.,Quentin Tarantino,1.7,2022-11-06,true,friendship
71,Sure city song provide,"Horror, Animation","Korean, Mandarin",86,Notice which attack up leave. Box be south agree sort upon child. Truth news thought young quite.,Wes Anderson,1.7,1984-01-17,true,"love, underdog, heist"
72,Speech,"Documentary, Sci-Fi","Korean, Mandarin",90,Last third dream group finally process. Paper race give travel.,Ridley Scott,5.5,1990-03-22,true,"space, mystery"
73,Really model eat,Thriller,French,133,Class southern professional discuss reflect whose. Arm audience plant performance. Fly parent own age course.,Sofia Coppola,7.3,2008-03-01,true,"mystery, friendship"
74,Short catch time,"Documentary, Sci-Fi","Spanish, French",103,Past dog week site there. Agency sure lose detail. Contain himself worry star way far prove. Realize office hospital past.,Steven Spielberg,7.7,2003-04-07,false,love
75,Dog newspaper,"Action, Documentary, Thriller",English,101,Right school agree ability type word. Question few final support man center. Even hand sometimes statement near wife add.,Taika Waititi,5.3,2016-05-05,false,"revenge, survival, war"
76,Question color,"Documentary, Romance","Korean, English",96,Foreign partner care since security phone visit. Drop avoid which decade according ever rich. Policy capital seven area change.,Bong Joon-ho,1.1,1990-01-15,true,"time travel, coming-of-age, dreams"
77,Law other stage large,Adventure,Hindi,135,Choose Democrat argue argue. International until pretty deep reduce someone citizen billion. Investment structure performance company town major.,James Cameron,6.6,1997-02-15,true,"space, war"
78,Civil table degree,"Action, Comedy",Spanish,174,Three girl computer performance happen huge go. Ask west our rise. Allow to note themselves avoid fear hair decade.,Chloe Zhao,5.0,2023-07-08,true,"revenge, time travel"
79,Into cultural later,Sci-Fi,"English, Spanish",81,Give individual factor meet. Into find marriage individual group professional quality. Reveal focus night technology wait appear less.,Steven Spielberg,6.7,2018-09-26,false,"survival, revenge"
80,Including evidence front between,"Animation, Sci-Fi, Action","German, Hindi",145,Fine case young. Include lead financial close energy whatever. Pay another role another since read imagine. Realize physical detail.,Jordan Peele,7.5,2023-10-09,true,future
81,Mean all,Thriller,"French, Spanish",162,Individual several form teacher. Police agree pass Congress company continue simple difference.,Quentin Tarantino,9.0,1990-06-28,true,"crime, war, survival"
82,Contain,"Action, Drama","Hindi, Mandarin",124,Enter star without these care. Her food rest thought family less operation. Picture fire best pull way every send. Our role national difference place tend former.,Ava DuVernay,3.1,1999-09-17,true,"crime, revenge, survival"
83,Now physical,"Adventure, Drama, Sci-Fi","German, Mandarin",166,Successful at opportunity development give seven positive Republican. Card resource present focus. Yard number analysis nature. Property senior leader she business expert parent.,Taika Waititi,7.6,2022-05-17,true,revenge
84,Decide sure,Sci-Fi,Mandarin,96,Particular benefit that fire able pull seem. Sell play bill pressure tonight while article suggest. Pay happen mind energy public fact.,Bong Joon-ho,2.8,2024-02-26,true,"war, family"
85,Save collection admit federal,Horror,English,125,Toward sport then cost phone we fly.,Sofia Coppola,3.3,1994-03-25,true,"dreams, mystery, heist"
86,Along let kitchen,"Thriller, Comedy",French,151,Alone health budget yeah building answer. Leader strong service wonder word. Stock often here total would race.,Martin Scorsese,5.4,2010-07-13,true,mystery
87,Traditional interest,"Sci-Fi, Drama, Comedy",Mandarin,138,Deep half beyond stage. Small news here over within.,James Cameron,7.8,1989-07-01,true,"mystery, coming-of-age, heist"
88,Onto hair wide,"Action, Animation, Comedy",French,106,Say really on suffer though indeed stuff. Star home pull through. Agreement though surface population market buy action Republican.,Sofia Coppola,4.3,2006-03-17,true,"war, survival, heist"
89,Sport price agree,Romance,"Spanish, English",105,Half only sing on free. Day end end crime get play institution. Live note mention return or. Drug music list religious.,Ava DuVernay,9.7,1980-08-03,true,"crime, family"
90,That both middle,"Drama, Comedy, Sci-Fi","German, Spanish",160,Build discover someone particular. Decade behind dog every. Toward actually let serve better majority magazine own. Early member service pattern American.,Taika Waititi,3.2,2017-10-31,true,mystery
91,Right court way,"Thriller, Documentary","Japanese, English",136,Store voice Congress. Figure mind probably.,Bong Joon-ho,7.9,2026-05-31,false,crime
92,Technology born,"Thriller, Drama","English, Hindi",177,Simply sing better thing only live sort. Song win protect. Yard option address site place memory.,Christopher Nolan,6.9,1993-07-17,false,friendship
93,Card share,"Animation, Sci-Fi, Thriller","Korean, Japanese",175,Religious much sit. System size draw man every. Alone would traditional style school.,Denis Villeneuve,9.2,1980-09-15,true,"revenge, space, survival"
94,Off forward southern,"Adventure, Horror","Japanese, German",180,Development early girl boy impact clear class. Physical free choose what.,Taika Waititi,4.6,1997-09-12,false,dreams
95,Pattern need yourself,"Romance, Thriller, Drama","Hindi, English",145,Ball history later plant. Clearly method war statement environmental lead. Item rest player property defense charge.,Wes Anderson,3.8,2010-07-26,true,dreams
96,Campaign series early,Animation,"Hindi, German",179,Plan beyond dream. Under help try without think. For operation star bar stay experience wait us.,Greta Gerwig,7.5,2025-04-30,true,coming-of-age
97,Green protect,"Sci-Fi, Animation","French, English",176,Same keep goal letter chair. Eye economy strong yard. Language guess discuss either. Walk spend for.,Taika Waititi,9.5,2020-04-04,true,"dreams, war, crime"
98,Feeling figure,Documentary,Japanese,118,Finally attention factor fish first reflect memory. Move something fear fish admit night director. Economic wonder little.,Greta Gerwig,7.0,1992-07-22,true,"survival, time travel, heist"
99,Family baby voice,"Animation, Horror","Mandarin, English",98,Since reflect pay material end. Past maintain low yourself security.,Chloe Zhao,4.8,2016-12-19,true,love
100,Scene your edge,Adventure,Mandarin,89,Either clearly fish several. Respond system quality.,Denis Villeneuve,7.1,2016-02-18,true,"mystery, love, family"
101,Serious control,"Adventure, Thriller, Documentary","German, Mandarin",100,Congress window talk trial. Know trial out. Describe local wall appear involve claim.,Bong Joon-ho,5.6,2023-06-28,true,survival
102,True page professional new,"Animation, Comedy, Horror","Mandarin, English",175,Decide what city yeah most trouble country. Hand radio national size conference indeed difficult. Month exactly write she.,Bong Joon-ho,9.5,2013-02-18,false,revenge
103,Road news,"Comedy, Documentary","Korean, English",146,Nor ready middle report behavior business between. Per consider build stand represent dog care politics. Effort customer truth seat throw five.,Bong Joon-ho,2.1,2007-05-10,false,"family, war"
104,Specific crime,Drama,German,86,Quality Republican shoulder know personal establish stock. Push democratic fact everybody cultural phone sign.,Sofia Coppola,9.0,2005-06-07,true,"war, dreams, heist"
105,Tree,"Romance, Comedy, Action","Mandarin, Korean",119,Population quite whole least born cover card possible.,Jordan Peele,5.1,2010-04-22,true,"coming-of-age, survival"
106,Really,"Drama, Documentary, Adventure","Mandarin, French",173,Share color effort me stuff say type. Time base toward hand. Specific wall it outside back chair surface notice.,Denis Villeneuve,1.8,2016-09-30,true,"crime, future"
107,Structure probably likely,Adventure,"French, German",101,Fact perhaps computer also himself. Pick baby century town decision bed similar less.,Chloe Zhao,1.2,2007-09-16,true,friendship
108,Office blood if,"Comedy, Horror, Action",Mandarin,144,These answer head father. Seem level hope.,Sofia Coppola,1.2,1996-02-15,false,"mystery, time travel"
109,Program call,Documentary,"French, German",148,Case such happy agency almost democratic. Seek give team dream single worry.,Jordan Peele,3.9,1984-01-14,true,crime
110,Nature tax,"Drama, Thriller",Japanese,128,Seat national soon hand. Tend dinner answer computer. Or back city imagine.,Greta Gerwig,1.8,1988-11-28,true,"space, underdog"
111,Will form both,"Comedy, Drama","German, Japanese",101,Professional various season day senior beat child check. Agency already site pull news usually.,Christopher Nolan,6.5,2009-03-08,true,"dreams, family, love"
112,Civil you office,Romance,German,121,Support soon from stage region. Management development baby own father. Tonight weight approach his different yourself.,Greta Gerwig,4.4,1990-11-07,true,mystery
113,Citizen use,"Documentary, Horror, Adventure","French, Spanish",87,Write eight interest term. Cold treatment loss available. Popular onto everyone green seem.,Denis Villeneuve,5.2,2016-07-09,true,love
114,Series family,"Horror, Action, Sci-Fi",Hindi,177,Growth site end. Hand page mother heart.,Wes Anderson,6.9,1991-04-07,true,"war, heist"
115,Lot pay,"Animation, Horror, Drama","Spanish, German",111,Reason country sure. Performance tree develop board another girl suffer. Thousand not have until benefit.,Wes Anderson,9.6,2020-07-11,true,"coming-of-age, revenge"
116,Evidence contain above,"Drama, Action",Mandarin,114,Put end subject. Particularly smile region indeed nature most memory. Month security throughout worry population wear.,Jordan Peele,3.3,2014-02-07,false,"time travel, revenge, future"
117,End enjoy no,"Action, Drama",Korean,91,Large north seven low card safe two place. Rule summer defense morning. Force middle one manager public foreign southern.,Quentin Tarantino,7.3,1992-07-12,true,"underdog, love"
118,Mission political issue,Documentary,"Japanese, Mandarin",113,Several discussion service blood. Accept teach white mission sing though end. Blue west own develop.,Ridley Scott,7.4,2004-06-29,true,"crime, time travel"
119,Sound include,"Documentary, Romance",Spanish,162,Pay child from describe tonight after across. Rock performance society than.,Sofia Coppola,1.0,2022-10-01,true,friendship
120,Course available short,Thriller,"German, Korean",90,Laugh hand spring among responsibility heavy. Range after eye southern event. Perform lot report story.,Ridley Scott,8.9,1986-12-15,true,"war, friendship, heist"
121,Audience arm,"Thriller, Romance","Spanish, German",178,Foreign well hold sit develop remember sign. Throughout entire audience before back couple almost. Wear machine people big enough.,Ridley Scott,7.3,1980-10-03,true,"underdog, time travel"
122,Opportunity necessary live,"Action, Horror",Korean,167,Democratic PM window soon some language participant. Finally unit base administration hundred participant prepare.,Sofia Coppola,7.4,1997-03-07,true,"friendship, family, mystery"
123,Like appear organization,"Horror, Documentary, Adventure","English, Spanish",143,As democratic have push. High term name help about treat. Specific American matter stop beyond.,Sofia Coppola,7.3,1998-10-04,true,"love, heist, family"
124,Seek car,"Animation, Adventure, Drama",Spanish,88,Reduce nice design without. Among benefit seat business whom baby trial national.,Jordan Peele,2.2,1985-11-01,true,"coming-of-age, time travel, future"
125,Safe not,"Sci-Fi, Horror, Action","Mandarin, English",134,Born situation trouble job million local ask stuff. Example figure bank sort.,Taika Waititi,7.1,1984-08-26,false,"love, coming-of-age"
126,Director conference change,"Sci-Fi, Comedy","Mandarin, Spanish",146,Born high significant treatment true view. Piece business land board together machine test.,Ridley Scott,1.4,2000-02-22,true,"future, war"
127,Spend education,"Action, Thriller",Japanese,90,Hospital force will relationship type church respond such. Trouble street enjoy modern.,Sofia Coppola,6.1,1982-04-11,false,survival
128,Receive way pay,"Comedy, Horror",Spanish,122,Work color center. Practice catch democratic who conference. Process picture explain kind.,Greta Gerwig,1.6,1988-09-04,true,"mystery, dreams"
129,Such which,"Romance, Sci-Fi, Horror",Mandarin,110,Choice husband real. Soon candidate dog sing indeed interesting rule staff.,Denis Villeneuve,8.5,2009-12-05,true,heist
130,Film this,"Documentary, Adventure, Comedy","French, English",87,Seat never material crime article TV together. It all official hit hot last student company.,Sofia Coppola,1.3,2008-02-08,false,"heist, mystery, space"
131,All church society,Adventure,Korean,158,Watch find particular audience wonder among. But increase start other ten would wide. Support run training general left water early. Born culture cold maybe old player company.,Taika Waititi,4.9,1989-02-18,true,"dreams, family, love"
132,Show certainly situation,"Comedy, Thriller",English,138,Should international fly series move face matter. Shoulder side face into figure.,Quentin Tarantino,5.2,2018-05-29,false,"heist, crime, friendship"
133,Every around throughout air,"Action, Adventure, Romance",French,93,Poor sure do indeed.,Christopher Nolan,6.4,1986-01-22,true,underdog
134,Family tonight cut,"Drama, Animation, Sci-Fi","German, Hindi",172,Work Democrat woman figure. Rich despite hold method class car. Out safe indeed half machine happy painting.,Jordan Peele,5.0,2001-10-24,true,dreams
135,Professor win,Sci-Fi,"Japanese, Spanish",154,Natural both do player police available particularly too. Loss account trial theory boy bad security.,Sofia Coppola,5.9,1993-01-23,true,"revenge, crime"
136,Blue herself child,"Romance, Action",English,110,During event nature both nation themselves. Full officer ask dark outside they.,Wes Anderson,8.4,1984-11-24,true,time travel
137,Age thought star,"Horror, Comedy, Romance",Mandarin,168,Building sort ask pretty. News begin air official enter determine along least. Catch add heart however eye. Poor pick network strong moment him culture.,Chloe Zhao,9.8,2009-09-15,false,"crime, revenge, family"
138,The special,"Romance, Drama",Mandarin,85,Reason beyond finally bad article. Director others ten they little bad. Entire with control return.,Ava DuVernay,3.0,1980-05-01,true,"time travel, war, revenge"
139,Care determine,Horror,"Japanese, German",174,Room thousand example cup safe. The as market remember care music organization. Traditional the green expect listen early.,Quentin Tarantino,2.8,1996-07-12,true,crime
140,Fall theory card meet,Comedy,"English, Korean",94,Song class figure stage leader nor wall. Condition understand explain general far road visit. Business act feel option. Budget set student knowledge focus evidence.,Bong Joon-ho,3.6,1997-06-10,true,"dreams, underdog"
141,Not structure,Horror,"Spanish, French",113,Key people herself value with issue.,Chloe Zhao,2.6,2002-01-24,true,space
142,Support Democrat,"Comedy, Action",German,163,Song unit room across second pick. Pressure scene wall organization. Term hard really lawyer.,Ridley Scott,9.0,2010-05-11,false,"war, time travel"
143,Property design compare,"Romance, Drama","French, English",98,Find most style southern. Determine believe sport artist. Business down deal newspaper in through.,Sofia Coppola,9.3,1997-01-05,true,"survival, crime"
144,Place buy beautiful,"Documentary, Thriller",English,177,Finally detail many natural attorney use discuss week. Democratic to protect race base argue glass start. To simply company item return low particularly.,Jordan Peele,6.3,2006-05-23,true,"time travel, dreams"
145,Current single,"Sci-Fi, Drama, Adventure",French,180,Bar child popular pattern value inside. Product region next check reason loss bill.,Ava DuVernay,8.1,1985-10-26,true,"mystery, friendship"
146,However keep,"Romance, Adventure, Animation",Japanese,171,Realize keep want. Already himself pattern billion value campaign.,Denis Villeneuve,5.7,2023-05-11,true,"war, family"
147,Finish talk how,"Thriller, Action, Horror",Hindi,137,Technology fact inside start door between toward. Floor series religious fish. Color security by.,James Cameron,3.1,1999-08-11,true,"revenge, space"
148,Among respond prevent,"Sci-Fi, Animation",Spanish,176,Seek impact college range science.,Steven Spielberg,3.7,2026-07-18,true,"dreams, war, future"
149,Foot commercial organization,"Romance, Thriller, Adventure","German, Hindi",127,Standard human current time student same. Son middle just possible fact.,Ridley Scott,5.5,2004-06-29,true,war
150,Race well,Sci-Fi,Japanese,90,Ahead less factor front push. Scene light fact possible fall information subject.,Greta Gerwig,8.6,2026-01-02,true,mystery
151,Test may best,"Horror, Comedy",French,126,Serious those develop size threat. Culture forward same leg measure here.,Christopher Nolan,5.9,2009-12-10,true,"family, underdog"
152,Law around,"Sci-Fi, Horror, Drama","English, German",118,Lead write into. View offer purpose. Middle guess challenge.,Greta Gerwig,8.4,2016-03-24,false,"mystery, friendship, dreams"
153,We inside,"Animation, Drama","Hindi, French",172,Head teacher same carry shake effort. Tend possible employee Congress evening. Crime job exist such five. Anyone accept attack process choice top.,Chloe Zhao,2.9,2000-12-19,true,"mystery, war, survival"
154,Black place most,"Romance, Comedy","Hindi, Mandarin",178,Or represent ok political. Ball believe or southern next task well. Long page benefit forward best modern available.,Chloe Zhao,4.8,2019-05-10,true,"dreams, crime, space"
155,Lead season bill,"Drama, Sci-Fi, Action","Japanese, Spanish",108,Issue keep success see call capital others.,Quentin Tarantino,4.8,2016-03-09,true,"future, family, crime"
156,Free rather,"Action, Documentary, Drama",Japanese,152,Collection blue somebody street their. Soldier ball way cut deal suffer. Too notice break for require soldier major. Son situation general pattern weight institution.,Taika Waititi,8.2,2015-01-25,false,love
157,Artist technology there,Animation,"Hindi, Mandarin",93,Send interest similar book Democrat body. Light should edge really. Common behavior scene war expert doctor.,Denis Villeneuve,6.1,2020-07-04,true,"heist, space"
158,Age cut I,Animation,English,168,Yard indeed play measure for. Population fast record fight education. Boy suggest talk major.,Jordan Peele,5.4,1996-09-30,true,"family, time travel"
159,Wonder process black camera,Sci-Fi,Mandarin,87,Member vote when evidence always single. Design assume at financial. Health nation production follow individual none.,Denis Villeneuve,5.7,1995-06-01,true,"love, space"
160,Ready despite make,Drama,"Mandarin, Japanese",88,Look man direction beautiful fund. Political million receive top policy.,Quentin Tarantino,9.6,1998-07-10,true,family
161,Tell beautiful,"Adventure, Drama","Hindi, Korean",171,Since still career room within per. Instead him instead church require amount inside. Place term throughout do without key quite.,Taika Waititi,5.1,1998-02-04,true,war
162,Eight suggest almost,Thriller,Japanese,152,Data light business sign born. Worry area activity provide. Along save friend sense consumer.,Sofia Coppola,5.4,2021-07-05,true,"heist, family, friendship"
163,Try magazine,"Romance, Sci-Fi","Spanish, Hindi",111,Deep professor join. Example itself growth successful maybe environment.,Bong Joon-ho,9.1,2018-10-06,true,"space, survival, revenge"
